deposit-v1,2018-01-23,2018-01-22 17:08:04.036+0000,{},,,True
identity-v1,2018-01-23,2018-01-22 17:05:14.679+0000,"{\"instance\":{\"identifier\":\"office__v1__employees\",\"permittables\":[{\"path\":\"office-v1/employees/*/contacts\",\"method\":\"PUT\",\"groupId\":\"office__v1__employees\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"office-v1/employees/*/contacts\",\"method\":\"GET\",\"groupId\":\"office__v1__employees\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"office-v1/employees/*/contacts\",\"method\":\"DELETE\",\"groupId\":\"office__v1__employees\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"office-v1/employees\",\"method\":\"POST\",\"groupId\":\"office__v1__employees\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"office-v1/employees\",\"method\":\"GET\",\"groupId\":\"office__v1__employees\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"office-v1/employees/*\",\"method\":\"PUT\",\"groupId\":\"office__v1__employees\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"office-v1/employees/*\",\"method\":\"GET\",\"groupId\":\"office__v1__employees\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"office-v1/employees/*\",\"method\":\"DELETE\",\"groupId\":\"office__v1__employees\",\"acceptTokenIntendedForForeignApplication\":false}]}}",,,True
identity-v1,2018-01-23,2018-01-22 17:05:14.747+0000,"{\"instance\":{\"identifier\":\"office__v1__self\",\"permittables\":[{\"path\":\"office-v1/employees/{useridentifier}/contacts\",\"method\":\"PUT\",\"groupId\":\"office__v1__self\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"office-v1/employees/{useridentifier}/contacts\",\"method\":\"GET\",\"groupId\":\"office__v1__self\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"office-v1/employees/{useridentifier}/contacts\",\"method\":\"DELETE\",\"groupId\":\"office__v1__self\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"office-v1/employees/{useridentifier}\",\"method\":\"PUT\",\"groupId\":\"office__v1__self\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"office-v1/employees/{useridentifier}\",\"method\":\"GET\",\"groupId\":\"office__v1__self\",\"acceptTokenIntendedForForeignApplication\":false}]}}",,,True
identity-v1,2018-01-23,2018-01-22 17:05:14.841+0000,"{\"instance\":{\"identifier\":\"office__v1__offices\",\"permittables\":[{\"path\":\"office-v1/offices/*/address\",\"method\":\"GET\",\"groupId\":\"office__v1__offices\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"office-v1/offices/*/references\",\"method\":\"PUT\",\"groupId\":\"office__v1__offices\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"office-v1/offices/*/address\",\"method\":\"PUT\",\"groupId\":\"office__v1__offices\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"office-v1/offices/*/address\",\"method\":\"DELETE\",\"groupId\":\"office__v1__offices\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"office-v1/offices\",\"method\":\"POST\",\"groupId\":\"office__v1__offices\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"office-v1/offices\",\"method\":\"GET\",\"groupId\":\"office__v1__offices\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"office-v1/offices/*\",\"method\":\"POST\",\"groupId\":\"office__v1__offices\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"office-v1/offices/*\",\"method\":\"DELETE\",\"groupId\":\"office__v1__offices\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"office-v1/offices/*\",\"method\":\"GET\",\"groupId\":\"office__v1__offices\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"office-v1/offices/*/branches\",\"method\":\"GET\",\"groupId\":\"office__v1__offices\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"office-v1/offices/*\",\"method\":\"PUT\",\"groupId\":\"office__v1__offices\",\"acceptTokenIntendedForForeignApplication\":false}]}}",,,True
identity-v1,2018-01-23,2018-01-22 17:05:35.263+0000,"{\"applicationIdentifier\":\"office-v1\",\"keyTimestamp\":\"2018-01-22T17_04_36\",\"signature\":{\"publicKeyMod\":16644968643002356016068908558611569321073942489417373904640979881684288494802736992908071028784142008682271718880210774385558353296231964771680774838291645441096476390377028476029843787755015976013186720105956061449674443755919382047647853217548893414561211231106753057830026146912427461488301106464092896047793096971993541440802694165594177973512482088249247968075977303571008374248190795019126313351251323888727429119609828474702647224618446419320165793358061823834290466057437886105742611527060181911234582847856571981945050071123691671599961038484217864903969641653270314605430273863936717208076892612937016520567,\"publicKeyExp\":65537}}",,,True
identity-v1,2018-01-23,2018-01-22 17:05:37.626+0000,"{\"instance\":{\"identifier\":\"accounting__v1__tx_types\",\"permittables\":[{\"path\":\"accounting-v1/transactiontypes/*\",\"method\":\"GET\",\"groupId\":\"accounting__v1__tx_types\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"accounting-v1/transactiontypes\",\"method\":\"POST\",\"groupId\":\"accounting__v1__tx_types\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"accounting-v1/transactiontypes\",\"method\":\"GET\",\"groupId\":\"accounting__v1__tx_types\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"accounting-v1/transactiontypes/*\",\"method\":\"PUT\",\"groupId\":\"accounting__v1__tx_types\",\"acceptTokenIntendedForForeignApplication\":false}]}}",,,True
identity-v1,2018-01-23,2018-01-22 17:05:37.645+0000,"{\"instance\":{\"identifier\":\"accounting__v1__income_stmt\",\"permittables\":[{\"path\":\"accounting-v1/incomestatement\",\"method\":\"GET\",\"groupId\":\"accounting__v1__income_stmt\",\"acceptTokenIntendedForForeignApplication\":false}]}}",,,True
identity-v1,2018-01-23,2018-01-22 17:05:37.673+0000,"{\"instance\":{\"identifier\":\"accounting__v1__journal\",\"permittables\":[{\"path\":\"accounting-v1/journal/*\",\"method\":\"GET\",\"groupId\":\"accounting__v1__journal\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"accounting-v1/journal\",\"method\":\"POST\",\"groupId\":\"accounting__v1__journal\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"accounting-v1/journal\",\"method\":\"GET\",\"groupId\":\"accounting__v1__journal\",\"acceptTokenIntendedForForeignApplication\":false}]}}",,,True
identity-v1,2018-01-23,2018-01-22 17:05:37.734+0000,"{\"instance\":{\"identifier\":\"accounting__v1__ledger\",\"permittables\":[{\"path\":\"accounting-v1/chartofaccounts\",\"method\":\"GET\",\"groupId\":\"accounting__v1__ledger\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"accounting-v1/ledgers/*\",\"method\":\"GET\",\"groupId\":\"accounting__v1__ledger\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"accounting-v1/ledgers\",\"method\":\"POST\",\"groupId\":\"accounting__v1__ledger\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"accounting-v1/ledgers/*\",\"method\":\"PUT\",\"groupId\":\"accounting__v1__ledger\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"accounting-v1/ledgers/*\",\"method\":\"POST\",\"groupId\":\"accounting__v1__ledger\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"accounting-v1/ledgers/*\",\"method\":\"DELETE\",\"groupId\":\"accounting__v1__ledger\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"accounting-v1/ledgers\",\"method\":\"GET\",\"groupId\":\"accounting__v1__ledger\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"accounting-v1/ledgers/*/accounts\",\"method\":\"GET\",\"groupId\":\"accounting__v1__ledger\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"accounting-v1/trialbalance\",\"method\":\"GET\",\"groupId\":\"accounting__v1__ledger\",\"acceptTokenIntendedForForeignApplication\":false}]}}",,,True
identity-v1,2018-01-23,2018-01-22 17:05:37.800+0000,"{\"instance\":{\"identifier\":\"accounting__v1__account\",\"permittables\":[{\"path\":\"accounting-v1/accounts\",\"method\":\"POST\",\"groupId\":\"accounting__v1__account\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"accounting-v1/accounts\",\"method\":\"GET\",\"groupId\":\"accounting__v1__account\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"accounting-v1/accounts/*\",\"method\":\"GET\",\"groupId\":\"accounting__v1__account\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"accounting-v1/accounts/*/actions\",\"method\":\"GET\",\"groupId\":\"accounting__v1__account\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"accounting-v1/accounts/*\",\"method\":\"DELETE\",\"groupId\":\"accounting__v1__account\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"accounting-v1/accounts/*/commands\",\"method\":\"POST\",\"groupId\":\"accounting__v1__account\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"accounting-v1/accounts/*\",\"method\":\"PUT\",\"groupId\":\"accounting__v1__account\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"accounting-v1/accounts/*/entries\",\"method\":\"GET\",\"groupId\":\"accounting__v1__account\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"accounting-v1/accounts/*/commands\",\"method\":\"GET\",\"groupId\":\"accounting__v1__account\",\"acceptTokenIntendedForForeignApplication\":false}]}}",,,True
identity-v1,2018-01-23,2018-01-22 17:05:37.829+0000,"{\"instance\":{\"identifier\":\"accounting__v1__fin_condition\",\"permittables\":[{\"path\":\"accounting-v1/financialcondition\",\"method\":\"GET\",\"groupId\":\"accounting__v1__fin_condition\",\"acceptTokenIntendedForForeignApplication\":false}]}}",,,True
identity-v1,2018-01-23,2018-01-22 17:06:13.243+0000,"{\"applicationIdentifier\":\"accounting-v1\",\"keyTimestamp\":\"2018-01-22T17_04_36\",\"signature\":{\"publicKeyMod\":17332243665527725249235869093155123325848365674863120417816052131301976783726809186436780262512169380314672974188366898390438197630223092918819586925505815419541456276520881623856377652644798166362584075430559680490911089864254768872072903473858255271621889393550641793688989662269887919350915742169823329847508585681114591546235820598560323194505887069116602136578963423096654754667417585337167731920434537478396873774600918498293793357457858949836059084474806418607118734142032798507475558376969677514878680563529158161938651371366272313951517382732760924168302643723146492039877011302605851555548486470722132155149,\"publicKeyExp\":65537}}",,,True
identity-v1,2018-01-23,2018-01-22 17:06:14.741+0000,"{\"instance\":{\"identifier\":\"portfolio__v1__products__enable\",\"permittables\":[{\"path\":\"portfolio-v1/products/*/enabled\",\"method\":\"PUT\",\"groupId\":\"portfolio__v1__products__enable\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/enabled\",\"method\":\"GET\",\"groupId\":\"portfolio__v1__products__enable\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/incompleteaccountassignments\",\"method\":\"GET\",\"groupId\":\"portfolio__v1__products__enable\",\"acceptTokenIntendedForForeignApplication\":false}]}}",,,True
identity-v1,2018-01-23,2018-01-22 17:06:14.775+0000,"{\"instance\":{\"identifier\":\"portfolio__v1__khepri\",\"permittables\":[{\"path\":\"portfolio-v1/beatlistener/v1/publishedbeats\",\"method\":\"POST\",\"groupId\":\"portfolio__v1__khepri\",\"acceptTokenIntendedForForeignApplication\":false}]}}",,,True
identity-v1,2018-01-23,2018-01-22 17:06:14.923+0000,"{\"instance\":{\"identifier\":\"portfolio__v1__case\",\"permittables\":[{\"path\":\"portfolio-v1/products/*/cases/*\",\"method\":\"PUT\",\"groupId\":\"portfolio__v1__case\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/cases\",\"method\":\"POST\",\"groupId\":\"portfolio__v1__case\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/cases/*\",\"method\":\"GET\",\"groupId\":\"portfolio__v1__case\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/cases/*/actions/*/costcomponents\",\"method\":\"GET\",\"groupId\":\"portfolio__v1__case\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/cases\",\"method\":\"GET\",\"groupId\":\"portfolio__v1__case\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/cases/*/commands/*\",\"method\":\"POST\",\"groupId\":\"portfolio__v1__case\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/cases/*/actions\",\"method\":\"GET\",\"groupId\":\"portfolio__v1__case\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/cases/*/tasks/*\",\"method\":\"GET\",\"groupId\":\"portfolio__v1__case\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/cases/*/tasks/*\",\"method\":\"PUT\",\"groupId\":\"portfolio__v1__case\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/cases/*/tasks\",\"method\":\"GET\",\"groupId\":\"portfolio__v1__case\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/cases/*/tasks/*/executed\",\"method\":\"PUT\",\"groupId\":\"portfolio__v1__case\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/individuallending/customers/*/cases\",\"method\":\"GET\",\"groupId\":\"portfolio__v1__case\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/individuallending/products/*/cases/*/plannedpayments\",\"method\":\"GET\",\"groupId\":\"portfolio__v1__case\",\"acceptTokenIntendedForForeignApplication\":false}]}}",,,True
identity-v1,2018-01-23,2018-01-22 17:06:14.974+0000,"{\"instance\":{\"identifier\":\"portfolio__v1__case_documents\",\"permittables\":[{\"path\":\"portfolio-v1/individuallending/products/*/cases/*/documents\",\"method\":\"GET\",\"groupId\":\"portfolio__v1__case_documents\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/individuallending/products/*/cases/*/documents\",\"method\":\"PUT\",\"groupId\":\"portfolio__v1__case_documents\",\"acceptTokenIntendedForForeignApplication\":false}]}}",,,True
identity-v1,2018-01-23,2018-01-22 17:06:15.147+0000,"{\"instance\":{\"identifier\":\"portfolio__v1__products\",\"permittables\":[{\"path\":\"portfolio-v1/products/*/balancesegmentsets/*\",\"method\":\"GET\",\"groupId\":\"portfolio__v1__products\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/balancesegmentsets/*\",\"method\":\"DELETE\",\"groupId\":\"portfolio__v1__products\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/balancesegmentsets\",\"method\":\"POST\",\"groupId\":\"portfolio__v1__products\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/balancesegmentsets\",\"method\":\"GET\",\"groupId\":\"portfolio__v1__products\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/balancesegmentsets/*\",\"method\":\"PUT\",\"groupId\":\"portfolio__v1__products\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/charges\",\"method\":\"GET\",\"groupId\":\"portfolio__v1__products\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/charges/*\",\"method\":\"GET\",\"groupId\":\"portfolio__v1__products\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/charges\",\"method\":\"POST\",\"groupId\":\"portfolio__v1__products\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/charges/*\",\"method\":\"DELETE\",\"groupId\":\"portfolio__v1__products\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/charges/*\",\"method\":\"PUT\",\"groupId\":\"portfolio__v1__products\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/patterns\",\"method\":\"GET\",\"groupId\":\"portfolio__v1__products\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products\",\"method\":\"POST\",\"groupId\":\"portfolio__v1__products\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*\",\"method\":\"GET\",\"groupId\":\"portfolio__v1__products\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*\",\"method\":\"DELETE\",\"groupId\":\"portfolio__v1__products\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*\",\"method\":\"PUT\",\"groupId\":\"portfolio__v1__products\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products\",\"method\":\"GET\",\"groupId\":\"portfolio__v1__products\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/enabled\",\"method\":\"GET\",\"groupId\":\"portfolio__v1__products\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/tasks\",\"method\":\"GET\",\"groupId\":\"portfolio__v1__products\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/tasks\",\"method\":\"POST\",\"groupId\":\"portfolio__v1__products\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/tasks/*\",\"method\":\"GET\",\"groupId\":\"portfolio__v1__products\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/tasks/*\",\"method\":\"PUT\",\"groupId\":\"portfolio__v1__products\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/products/*/tasks/*\",\"method\":\"DELETE\",\"groupId\":\"portfolio__v1__products\",\"acceptTokenIntendedForForeignApplication\":false}]}}",,,True
identity-v1,2018-01-23,2018-01-22 17:06:15.178+0000,"{\"instance\":{\"identifier\":\"portfolio__v1__products__lossprv\",\"permittables\":[{\"path\":\"portfolio-v1/individuallending/products/*/lossprovisionconfiguration\",\"method\":\"GET\",\"groupId\":\"portfolio__v1__products__lossprv\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"portfolio-v1/individuallending/products/*/lossprovisionconfiguration\",\"method\":\"PUT\",\"groupId\":\"portfolio__v1__products__lossprv\",\"acceptTokenIntendedForForeignApplication\":false}]}}",,,True
identity-v1,2018-01-23,2018-01-22 17:06:49.797+0000,"{\"applicationIdentifier\":\"portfolio-v1\",\"keyTimestamp\":\"2018-01-22T17_04_36\",\"signature\":{\"publicKeyMod\":19768817823249787186107284598513867192317567397607148273653979065969432559990712278870689602417700669827393940981316352842374977551740822135974135060589291351365123597295636494949683876454699142413412668453347135751797201209306381734421556914205745580781561197314647176962580169871649782832377902464950282119165914787536062548735848099823873568106630588713770443489622740765714658203353748982630743943378932992560315249612792851069541969345341344136119397043717138475765953362522334800893601842599036783400862955291322037619200596478027711420099497148969969839370072169482744574661624014102818896388624083158018337481,\"publicKeyExp\":65537}}",,,True
identity-v1,2018-01-23,2018-01-22 17:06:57.623+0000,{\"refreshToken\":\"Bearer eyJhbGciOiJSUzUxMiJ9.eyJpc3MiOiJyaHl0aG0tdjEiLCJzdWIiOiJpbWhvdGVwIiwiL21pZm9zLmlvL3NpZ25hdHVyZVRpbWVzdGFtcCI6IjIwMTgtMDEtMjJUMTdfMDRfMzYiLCJpYXQiOjE1MTY2NDA4MTYsImV4cCI6MTUxNjY0MDg3NiwiL21pZm9zLmlvL2VuZHBvaW50U2V0Ijoicmh5dGhtX192MV9faWRlbnRpdHlfX3YxIn0.Alu4DC2gJb8ai8vbeBHKEHdTTQqqkWdlmrtSKVQNtc_0gWMcmbRljjnJ0nG0ZGNO3_i8wV6PbH_2A4ZaLkZPe5xn0pRejsU9G2WqxW4np2_eYB-n7Rq-mVwS12OqulVBvVXg3bAJsvrhmtPCf0MdL7tE3cstgPzKkCQsHxuceTsiV6sWsp8HMOJUspkN71FaOlG5cm3VoKgEXXGxHNlu-bYfIObOdfM5PR-TzEiDHuPFVdsZ0qkCsz1JsI6vZPBE-2CDCALmQ-80yBcgxnENhKUDMCnJ4BOcstSHr4Ov4tzU_HWgXj3iYtC3VAbrJ4BopFlo4U0FQ4UB2_tJdShgxA\"},,,True
identity-v1,2018-01-23,2018-01-22 17:06:57.912+0000,"{\"applicationIdentifer\":\"rhythm-v1\",\"permission\":{\"permittableEndpointGroupIdentifier\":\"portfolio__v1__khepri\",\"allowedOperations\":[\"CHANGE\"]}}",,,True
identity-v1,2018-01-23,2018-01-22 17:06:58.269+0000,{\"useridentifier\":\"imhotep\"},,,True
identity-v1,2018-01-23,2018-01-22 17:06:58.420+0000,"{\"applicationIdentifier\":\"rhythm-v1\",\"permittableGroupIdentifier\":\"portfolio__v1__khepri\",\"userIdentifier\":\"imhotep\",\"enabled\":true}",,,True
identity-v1,2018-01-23,2018-01-22 17:07:01.253+0000,"{\"instance\":{\"identifier\":\"customer__v1__documents\",\"permittables\":[{\"path\":\"customer-v1/customers/*/documents/*\",\"method\":\"PUT\",\"groupId\":\"customer__v1__documents\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"customer-v1/customers/*/documents/*\",\"method\":\"POST\",\"groupId\":\"customer__v1__documents\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"customer-v1/customers/*/documents/*/completed\",\"method\":\"POST\",\"groupId\":\"customer__v1__documents\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"customer-v1/customers/*/documents/*\",\"method\":\"DELETE\",\"groupId\":\"customer__v1__documents\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"customer-v1/customers/*/documents\",\"method\":\"GET\",\"groupId\":\"customer__v1__documents\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"customer-v1/customers/*/documents/*/pages/*\",\"method\":\"GET\",\"groupId\":\"customer__v1__documents\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"customer-v1/customers/*/documents/*\",\"method\":\"GET\",\"groupId\":\"customer__v1__documents\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"customer-v1/customers/*/documents/*/pages\",\"method\":\"GET\",\"groupId\":\"customer__v1__documents\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"customer-v1/customers/*/documents/*/pages/*\",\"method\":\"DELETE\",\"groupId\":\"customer__v1__documents\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"customer-v1/customers/*/documents/*/pages/*\",\"method\":\"POST\",\"groupId\":\"customer__v1__documents\",\"acceptTokenIntendedForForeignApplication\":false}]}}",,,True
identity-v1,2018-01-23,2018-01-22 17:07:01.284+0000,"{\"instance\":{\"identifier\":\"customer__v1__portrait\",\"permittables\":[{\"path\":\"customer-v1/customers/*/portrait\",\"method\":\"POST\",\"groupId\":\"customer__v1__portrait\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"customer-v1/customers/*/portrait\",\"method\":\"GET\",\"groupId\":\"customer__v1__portrait\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"customer-v1/customers/*/portrait\",\"method\":\"DELETE\",\"groupId\":\"customer__v1__portrait\",\"acceptTokenIntendedForForeignApplication\":false}]}}",,,True
identity-v1,2018-01-23,2018-01-22 17:07:01.337+0000,"{\"instance\":{\"identifier\":\"customer__v1__identifications\",\"permittables\":[{\"path\":\"customer-v1/customers/*/identifications/*/scans/*\",\"method\":\"DELETE\",\"groupId\":\"customer__v1__identifications\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"customer-v1/customers/*/identifications/*\",\"method\":\"GET\",\"groupId\":\"customer__v1__identifications\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"customer-v1/customers/*/identifications\",\"method\":\"POST\",\"groupId\":\"customer__v1__identifications\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"customer-v1/customers/*/identifications/*\",\"method\":\"PUT\",\"groupId\":\"customer__v1__identifications\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"customer-v1/customers/*/identifications\",\"method\":\"GET\",\"groupId\":\"customer__v1__identifications\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"customer-v1/customers/*/identifications/*/scans/*\",\"method\":\"GET\",\"groupId\":\"customer__v1__identifications\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"customer-v1/customers/*/identifications/*/scans/*/image\",\"method\":\"GET\",\"groupId\":\"customer__v1__identifications\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"customer-v1/customers/*/identifications/*/scans\",\"method\":\"GET\",\"groupId\":\"customer__v1__identifications\",\"acceptTokenIntendedForForeignApplication\":false},{\"path\":\"customer-v1/customers/*/identifications/*\",\"method\":\"DELETE\",\"groupId\":\"customer__v1__identifications\",\"acceptTokenIntendedForForeignApplication\":false}]}}",,,True
